type,manager,institution,branch,address1,address2,address3,city
Bank,,Scotiabank,Arima,5 Hollis Avenue,,,ARIMA
Bank,,Scotiabank,Chaguanas,Main Road,,,CHAGUANAS
Bank,,Scotiabank,Couva,Southern Main Road,,,COUVA
Bank,,Scotiabank,Cunupia,Southern Main Road,,,CUNUPIA
Bank,,Scotiabank,Diego Martin,Starlite Shopping Plaza,Diego Martin Main Road,,DIEGO MARTIN
Bank,,Scotiabank,Lowlands Tobago,Lowlands Mall,Gulf City Blvd,Lowlands,TOBAGO
Bank,,Scotiabank,Marabella,Allum Shopping Centre,Southern Main Road,,MARABELLA
Bank,,Scotiabank,Maraval,Ellerslie Plaza,Saddle Road,,PORT OF SPAIN
Bank,,Scotiabank,Milford Road Tobago,Milford Road,,,TOBAGO
Bank,,Scotiabank,Penal,4 Penal Junction,,,PENAL
Bank,,Scotiabank,Point Fortin,Main Road,,,POINT FORTIN
Bank,,Scotiabank,POS Independence Square,Independence Square,,,PORT OF SPAIN
Bank,,Scotiabank,POS Richmond Street,56-58 Richmond Street,,,PORT OF SPAIN
Bank,,Scotiabank,Price Plaza,Price Plaza,Endeavour Road,,CHAGUANAS
Bank,,Scotiabank,Princes Town,High Street,,,PRINCES TOWN
Bank,,Scotiabank,Rio Claro,Naparima Mayaro Road,,,RIO CLARO
Bank,,Scotiabank,San Fernando,High Street,,,SAN FERNANDO
Bank,,Scotiabank,San Juan,Eastern Main Road,,,SAN JUAN
Bank,,Scotiabank,Sangre Grande,Eastern Main Road,,,SANGRE GRANDE
Bank,,Scotiabank,St. Augustine,Eastern Main Road,,,ST. AUGUSTINE
Bank,,Scotiabank,Trincity Mall,Trincity Mall,Western Car Park,Central Road,TRINCITY
Bank,,Scotiabank,Tunapuna,Corner St. John Road & Eastern Main Road,,,TUNAPUNA
Bank,,Trinidad and Tobago Mortgage Bank,Arima,22A King Street,,,ARIMA
Bank,,Trinidad and Tobago Mortgage Bank,Chaguanas,16 Southern Main Road,Edinburgh,,CHAGUANAS
Bank,,Trinidad and Tobago Mortgage Bank,Port of Spain,Albion Court,#61 Dundonald Street,,PORT OF SPAIN
Bank,,Trinidad and Tobago Mortgage Bank,San Fernando,52 Royal Road,,,SAN FERNANDO
Bank,,Trinidad and Tobago Mortgage Bank,Tobago,Corner of Jerningham & Ross Streets,,,UPPER SCARBOROUGH
Car Places,,Anderson Williams Motors LTD,,#128 Coral Drive,,,SAN FERNANDO
Car Places,,ANSA Motors,Chaguanas,Corner Chan Ramlal and Uriah Butler Highway,,,CHAGUANAS
Car Places,,ANSA Motors,Port of Spain,Richmond Street,,,PORT OF SPAIN
Car Places,,ANSA Motors,San Fernando,20 Royal Road,,,SAN FERNANDO
Car Places,,ANSA Motors,Tobago,Main Road Canaan,Bon Accord,,TOBAGO
Car Places,,D&D Auto World Limited,,15 Southern Main Road,St. Mary’s Village,,FREEPORT
Car Places,,FT Car Services,,Pro Queen Street,,,ARIMA
Car Places,,Life Style Motors,,Bhagoutie Trace,,,SAN JUAN
Car Places,,Massy Motors,Morvant,Lady Young Road,,,MORVANT
Car Places,,Massy Motors,Port of Spain,Corner Richmond Street and Tragarete Road,,,PORT OF SPAIN
Car Places,,Massy Motors,San Fernando,94-98 Cipero Street,,,SAN FERNANDO
Car Places,,Massy Motors,Tobago,Northside Road,,,TOBAGO
Car Places,,Rent to Own,Barataria,Off Uquire Road,Uquire Road,Lot A Road Reserve,FREEPORT
Car Places,,Ro-Ro Importers,,303 Southern Main Road,,,CUNUPIA
Car Places,,TOYOTA Motors,San Fernando,124-136 Seventh Street,,,BARATARIA
Credit Union,,Aero Services Credit Union,,Corner Orange Groove Road,,,TACARIGUA
Credit Union,,Agricola Credit Union,Arima,32 Pro Queen Street,,,ARIMA
Credit Union,,Agricola Credit Union,Marabella,Pamela’s Mall,14 Premier Street,Gopaul Lands,MARABELLA
Credit Union,,Agricola Credit Union,Port of Spain,20 Phillip Street,,,PORT OF SPAIN
Credit Union,,Agricultural Development Bank,Chaguanas,29 Ramsaran Street,,,CHAGUANAS
Credit Union,,Agricultural Development Bank,Port of Spain,87 Henry Street,,,PORT OF SPAIN
Credit Union,,Agricultural Development Bank,San Fernando,8-10 Gordon Street (North),,,SAN FERNANDO
Credit Union,,Agricultural Development Bank,Sangre Grande,149-157 Eastern Main Road,,,SANGRE GRANDE
Credit Union,,Agricultural Development Bank,,87 Henry Street,,,PORT OF SPAIN
Credit Union,,AMGECU Credit Union,,Corner Austin & Eastern Main Road,,,ST. JOSEPH
Credit Union,,Angostura Group Employee’s Credit Union (AMGECU),,Angostura Street,Eastern Main Road,,LAVENTILLE
Credit Union,,Antilles Credit Union,,Bushy Park Vessigny,,,LA BREA
Credit Union,,Bank and General Workers Union,,27A Borde Street,,,PORT OF SPAIN
Credit Union,,Canning’s Employees’ Credit Union,,10 Victoria Avenue,,,PORT OF SPAIN
Credit Union,,Caribbean Finance Company Limited,Port of Spain,17-19 Tragarete Road,,,PORT OF SPAIN
Credit Union,,Caribbean Finance Company Limited,San Fernando,27-31 Cipero Road,,,SAN FERNANDO
Credit Union,,Carilend Caribbean Holding Ltd,,"Level 2, Invaders Bay Tower",Off Audrey Jeffers Highway,,PORT OF SPAIN
Credit Union,,Cathedral Credit Union,,113 Edward Street,,,PORT OF SPAIN
Credit Union,,CECU Credit Union,,10 Victoria Avenue,,,PORT OF SPAIN
Credit Union,,CEMCU Credit Union,,94 Southern Main Road,Plaisance Park,,POINT-A-PIERRE
Credit Union,,CLICO Credit Union Co-operative Society Limited,Piarco,Unit #6 Piarco Plaza,,,PIARCO
Credit Union,,CLICO Credit Union Co-operative Society Limited,Port of Spain,33 Edward Street,,,PORT OF SPAIN
Credit Union,,Community Care Credit Union,,Bushe Street and Southern Main Road,,,CUREPE
Credit Union,,COPOS Credit Union,Arima,79 Pro Queen Street,,,ARIMA
Credit Union,,COPOS Credit Union,Port of Spain,36 Pembroke Street,,,PORT OF SPAIN
Credit Union,,Criminal Injuries Compensation Board,,52-60 Abercromby Street,,,PORT OF SPAIN
Credit Union,,E Finance & Development,San Fernando,Cipero Street,,,SAN FERNANDO
Credit Union,,E Finance & Development,San Juan,17 Bhagoutie Trace,,,SAN JUAN
Credit Union,,Eastern Credit Union,Arima,44-46 Sorzano Street,,,ARIMA
Credit Union,,Eastern Credit Union,Chaguanas,Ramsaran Street,,,CHAGUANAS
Credit Union,,Eastern Credit Union,Port of Spain,Park Street,,,PORT OF SPAIN
Credit Union,,Eastern Credit Union,San Fernando,St. James Street,,,SAN FERNANDO
Credit Union,,Eastern Credit Union,Sangre Grande,5 Eastern Main Road,,,SANGRE GRANDE
Credit Union,,Eastern Credit Union,St. Joseph,La Joya Complex,Eastern Main Road,,ST. JOSEPH
Credit Union,,Eastern Credit Union,Tunapuna,133 Eastern Main Road,,,TUNAPUNA
Credit Union,,GPCU Credit Union Co-operative Society Limited,,9 Borde Street,,,PORT OF SPAIN
Credit Union,,Island Finance Trinidad and Tobago,Arima,Green Street,,,ARIMA
Credit Union,,Island Finance Trinidad and Tobago,Chaguanas,Southern Main Road,,,CHAGUANAS
Credit Union,,Island Finance Trinidad and Tobago,Couva,Southern Main Road,,,COUVA
Credit Union,,Island Finance Trinidad and Tobago,Curepe,41 Eastern Main Road,,,CUREPE
Credit Union,,Island Finance Trinidad and Tobago,Debe,SS Erin Road,,,DEBE
Credit Union,,Island Finance Trinidad and Tobago,Diego Martin,West Bees Plaza,Main Road,,DIEGO MARTIN
Credit Union,,Island Finance Trinidad and Tobago,Gasparillo,21 Bonne Aventure Road,,,GASPARILLO
Credit Union,,Island Finance Trinidad and Tobago,Point Fortin,#45 Main Road,,,POINT FORTIN
Credit Union,,Island Finance Trinidad and Tobago,Port of Spain,St Vincent Street,,,PORT OF SPAIN
Credit Union,,Island Finance Trinidad and Tobago,Princes Town,High Street,,,PRINCES TOWN
Credit Union,,Island Finance Trinidad and Tobago,Rio Claro,Naparima Mayaro Road,,,RIO CLARO
Credit Union,,Island Finance Trinidad and Tobago,San Fernando,Cipero Street,,,SAN FERNANDO
Credit Union,,Island Finance Trinidad and Tobago,San Juan,Eastern Main Road,,,SAN JUAN
Credit Union,,Island Finance Trinidad and Tobago,Sangre Grande,Eastern Main Road,,,SANGRE GRANDE
Credit Union,,Island Finance Trinidad and Tobago,Siparia,High Street,,,SIPARIA
Credit Union,,Island Finance Trinidad and Tobago,St.James,159A Western Main Road,,,ST. JAMES
Credit Union,,Island Finance Trinidad and Tobago,Tunapuna,41 Eastern Main Road,,,TUNAPUNA
Credit Union,,Massy Finance GFC,,15-17 Keate Street,,,PORT OF SPAIN
Credit Union,,Micro Finance Limited,,112 Robert Street,,,WOODBROOK
Credit Union,,NCB Merchant Bank,,6th Floor Newtown Centre,30-36 Maraval Road Newton,,PORT OF SPAIN
Credit Union,,Neal & Massy Credit Union,,15 Borde Street,,,PORT OF SPAIN
Credit Union,,Palo Seco Credit Union,,S.S Erin Main Road,,,PALO SECO
Credit Union,,PECU Credit Union,,50 Park Street,,,PORT OF SPAIN
Credit Union,,Pentecostal Credit Union Cooperative Society,,56 Bhagna Trace,,,CHAGUANAS
Credit Union,,Port Employees Credit Union,,50 Park Street,,,PORT OF SPAIN
Credit Union,,Progressive Credit Union,,80 Second Street,,,SAN JUAN
Credit Union,,PSCU Credit Union,Arima,16 Cocorite Road,,,ARIMA
Credit Union,,PSCU Credit Union,Port of Spain,#24 Sackville Street,,,PORT OF SPAIN
Credit Union,,PSCU Credit Union,San Fernando,27 Naparima Mayaro Road,Cocoyea,,SAN FERNANDO
Credit Union,,Public Service Credit Union Co-operative Society Limited,Arima,#16 Cocorite Road,,,ARIMA
Credit Union,,Public Service Credit Union Co-operative Society Limited,Cocoyea,8A Naparima Mayaro Road,,,COCOYEA
Credit Union,,Public Service Credit Union Co-operative Society Limited,Port of Spain,#24 Sackville Street,,,PORT OF SPAIN
Credit Union,,Public Service Credit Union Co-operative Society Limited,Tobago,TLH Building,Milford Road,,SCARBOROUGH
Credit Union,,RHAND Credit Union,Arima,Pro Queen Street,,,ARIMA
Credit Union,,RHAND Credit Union,Port of Spain,57 Abercromby Street,,,PORT OF SPAIN
Credit Union,,RHAND Credit Union,Tobago,Sangster’s Hill Mall,Scarborough,,TOBAGO
Credit Union,,SECU Credit Union,Chaguanas,101 Southern Main Road,,,CHAGUANAS
Credit Union,,SECU Credit Union,Couva,101 Southern Main Road,,,COUVA
Credit Union,,SECU Credit Union,Princes Town,95 High Street,,,PRINCES TOWN
Credit Union,,SECU Credit Union,Tobago,19 Dutch Fort Apt 11,Scarborough,,TOBAGO
Credit Union,,SERVOL Credit Union,,91 Frederick Street,,,PORT OF SPAIN
Credit Union,,SFCCU Credit Union,"Irving Street, San Fernando",16 Irving Street,,,SAN FERNANDO
Credit Union,,SFCCU Credit Union,"Montano Plaza, San Fernando",Shop #7 Montano Plaza,High Street,,SAN FERNANDO
Credit Union,,SFCCU Credit Union,Siparia,15 George Street,,,SIPARIA
Credit Union,,St Stephen Credit Union,,Naparima Mayaro Road,,,PRINCES TOWN
Credit Union,,Swift Loans Services,,1 Rush Street,,,PORT OF SPAIN
Credit Union,,Tateco Credit Union,,85 Fifth Street,,,SAN JUAN
Credit Union,,TECU Credit Union,Couva,Southern Main Road,,,COUVA
Credit Union,,TECU Credit Union,Point Fortin,28 Guapo Cap-de-Ville Road,,,POINT FORTIN
Credit Union,,TECU Credit Union,San Fernando,TECU House,Southern Main Road,,SAN FERNANDO
Credit Union,,Telephone Credit Union TWCU,,Henry Street,,,PORT OF SPAIN
Credit Union,,Term Finance,,1st Floor,CIBC Financial Centre,74 Long Circular Road,MARAVAL
Credit Union,,Tranquility Credit Union,,5 Maraval Road Newton,,,PORT OF SPAIN
Credit Union,,Trinidad and Tobago Fire Service Credit Union,Arima,Corner Quesnel and Nelson Street,,,ARIMA
Credit Union,,Trinidad and Tobago Fire Service Credit Union,Port of Spain,5-7 Mc Donald Street,,,PORT OF SPAIN
Credit Union,,Trinidad and Tobago Fire Service Credit Union,San Fernando,73A Rushworth Street,,,SAN FERNANDO
Credit Union,,Trinidad and Tobago Fire Service Credit Union,Tobago,Northside Road,Scarborough,,TOBAGO
Credit Union,,Trinidad and Tobago Police Credit Union,Arima,12-13 Green Street,,,ARIMA
Credit Union,,Trinidad and Tobago Police Credit Union,Barataria,33-35 Eastern Main Road,,,BARATARIA
Credit Union,,Trinidad and Tobago Police Credit Union,San Fernando,17-19 Irving Street,,,SAN FERNANDO
Credit Union,,Trinidad and Tobago Police Credit Union,Tobago,Mt Marie Road,Scarborough,,TOBAGO
Credit Union,,Unit Trust Corporation,Arima,44 Green Street,,,ARIMA
Credit Union,,Unit Trust Corporation,Chaguanas,26-28 Endeavour Road,,,CHAGUANAS
Credit Union,,Unit Trust Corporation,Couva,26 Southern Main Road,,,COUVA
Credit Union,,Unit Trust Corporation,Head Office,82 Independence Square,,,PORT OF SPAIN
Credit Union,,Unit Trust Corporation,One Woodbrook Place,Unit 27,One Woodbrook Place,189 Tragarete Road,PORT OF SPAIN
Credit Union,,Unit Trust Corporation,Point Fortin,13 Handel Road,,,POINT FORTIN
Credit Union,,Unit Trust Corporation,Port of Spain,UTC Financial Centre,82 Independence Square,,PORT OF SPAIN
Credit Union,,Unit Trust Corporation,San Fernando,Carlton Centre,55A St. James Street,,SAN FERNANDO
Credit Union,,Unit Trust Corporation,Sangre Grande,"Unit #2, Xtra Plaza",Eastern Main Road,Guaico,SANGRE GRANDE
Credit Union,,Unit Trust Corporation,Tobago,"Corner, Main & Castries Street",Scarborough,,TOBAGO
Credit Union,,Unit Trust Corporation,Trincity,Level 2 Trincity Mall,,,TRINCITY
Credit Union,,UWI Credit Union Co-operative Society Limited,,118 Eastern Main Road,,,ST. AUGUSTINE
Credit Union,,Venture Credit Union,Arouca,233 Eastern Main Road,,,AROUCA
Credit Union,,Venture Credit Union,Couva,2 Noel Street North,,,COUVA
Credit Union,,Venture Credit Union,San Fernando,63 Rushworth Street,,,SAN FERNANDO
Credit Union,,Works Credit Union,Arima,O’Meara Road,,,ARIMA
Credit Union,,Works Credit Union,Port of Spain,8-10 Dundonald Street,,,PORT OF SPAIN
Credit Union,,Works Credit Union,San Fernando,8 Todd Street,,,SAN FERNANDO
Credit Union,,Works Credit Union,Trincity,East Gates Mall,Trincity Central Road North,,TRINCITY
Embassy,,Embassy of Japan in Trinidad and Tobago,,5 Hayes Street,St. Clair,,PORT OF SPAIN
Embassy,,Embassy of the Federal Republic of Germany,,19 St. Clair Avenue,St. Clair,,PORT-OF-SPAIN
Embassy,,Embassy of the Kingdom of Spain,,"7th Floor, TATIL Building",11 Maraval Road,St. Clair,NEWTOWN 190131
Embassy,The Visa Officer,British High Commission,,UK Embassy,#19 St. Clair Avenue,,PORT OF SPAIN
Embassy,The Visa Officer,Embassy of the United States of America,,Marli Street,#15 Queen’s Park West,,PORT OF SPAIN
Embassy,The Visa Officer,High Commission of Australia,,#18 Herbert Street,,,WOODBROOK
Embassy,The Visa Officer,High Commission of Canada,,Maple House,3-3A Sweet Briar Road,,PORT OF SPAIN
Furniture Stores,,Ashley Furniture,,Corner of Narsaloo Ramaya & Bilijah Road,Endeavour,,CHAGUANAS
Furniture Stores,,Ashley’s Furniture Store,,Corner Narsaloo Ramaya & Blijah Road,Endeavour,,CHAGUANAS
Furniture Stores,,Courts,"High Street, Princes Town",High Street,,,PRINCES TOWN
Furniture Stores,,Courts,"JD's, Princes Town",JD’s Supercentre ,10 Tramline Road,,PRINCES TOWN
Furniture Stores,,Courts,Point Fortin,298 Main Road,,,POINT FORTIN
Furniture Stores,,Courts,Port of Spain,31 Frederick Street,,,PORT OF SPAIN
Furniture Stores,,Courts,San Fernando,Lot #2 South Park,Tarouba North Link Road,,SAN FERNANDO
Furniture Stores,,Courts,Siparia,27 High Street,,,SIPARIA
Furniture Stores,,Courts Furniture Store,,Chacon Street,,,PORT OF SPAIN
Furniture Stores,,Courts Ltd,Arima,Ridgewood Plaza,Eastern Main Road,,ARIMA
Furniture Stores,,Courts Ltd,"High Street, San Fernando",Corner Harris and High Street,,,SAN FERNANDO
Furniture Stores,,Courts Ltd,"Michael Raphael Blvd, San Fernando",Michael Raphael Blvd,,,SAN FERNANDO
Furniture Stores,,Courts Ltd,Penal,SS Erin Road,,,PENAL
Furniture Stores,,Courts Ltd,Rio Claro,813 Naparima,Mayaro Road,,RIO CLARO
Furniture Stores,,Courts Ltd,Sangre Grande,Eastern Main Road,,,SANGRE GRANDE
Furniture Stores,,Courts Ltd,St. James,3 Long Circular Road,,,ST. JAMES
Furniture Stores,,Courts Mega Store,,Churchill Roosevelt Highway,,,SAN JUAN
Furniture Stores,,Furniture Plus Ltd.,Arima,Shops of Arima,Tumpuna Road,,ARIMA
Furniture Stores,,Furniture Plus Ltd.,Chaguanas,Main Road,Montrose,,CHAGUANAS
Furniture Stores,,Furniture Plus Ltd.,Point Fortin,3 Guapo Cap de Ville Road,,,POINT FORTIN
Furniture Stores,,Furniture Plus Ltd.,Port of Spain,Henry Street,,,PORT OF SPAIN
Furniture Stores,,Furniture Plus Ltd.,San Juan,Chanka Trace,,,SAN JUAN
Furniture Stores,,Furniture Plus Ltd.,Tunapuna,137 Eastern Main Road,,,TUNAPUNA
Furniture Stores,,G3 Hardware & Home Centre Limited,,Lot 44 & 35,Tumpuna Road (South),,ARIMA
Furniture Stores,,Standard Distributors Limited,Arima,Prince Street,,,ARIMA
Furniture Stores,,Standard Distributors Limited,Chaguanas,ANSA Mc Cal Centre,Endeavour Road,,CHAGUANAS
Furniture Stores,,Standard Distributors Limited,Grand Bazaar,Corner Uriah Butler Highway,& Churchill Roosevelt Highway,,GRAND BAZAAR
Furniture Stores,,Standard Distributors Limited,Mt. Hope,1 Service Road & Eastern Main Road,Champ Fleurs,,MT. HOPE
Furniture Stores,,Standard Distributors Limited,"Pennywise Plaza, Chaguanas",Pennywise Plaza,,,CHAGUANAS
Furniture Stores,,Standard Distributors Limited,Princes Town,High Street,,,PRINCES TOWN
Furniture Stores,,Standard Distributors Limited,San Fernando,167 Coffee Street,,,SAN FERNANDO
Furniture Stores,,Standard Distributors Limited,St. James,Corner Western Main Road,and Calcutta Street,,ST. JAMES
Furniture Stores,,UNICOMER (Trinidad) Limited,,"No. 1, Calcutta Settlement Road #1",,,FREEPORT
Furniture Stores,,Unique Furniture & Appliances Store Limited,,16 Market Street,,,MARABELLA
Gov't Ministries,,Inland Revenue Division,Chaguanas,37 Ramsaran Street,,,CHAGUANAS
Gov't Ministries,,Inland Revenue Division,Point Fortin,12-14 Techier,Main Road,,POINT FORTIN
Gov't Ministries,,Inland Revenue Division,Port of Spain,IRD Tower,Government Campus Plaza,"Head Office, 2-4 Ajax Street",PORT OF SPAIN
Gov't Ministries,,Inland Revenue Division,San Fernando,Cipero Street,,,SAN FERNANDO
